,examples,predictions,references
0," = Robert Boulter = 
","E. Lee ,",['Boulter =']
1," Robert Boulter is an English film , television and theatre actor . He had a guest @-@ starring role on the television series The Bill in 2000 . This was followed by a starring role in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court Theatre . He had a guest role in the television series Judge John Deed in 2002 . In 2004 Boulter landed a role as "" Craig "" in the episode "" Teddy 's Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . He was cast in the 2005 theatre productions of the Philip Ridley play Mercury Fur , which was performed at the Drum Theatre in Plymouth and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . 
",""" The Man Who Loved Me "" , in which he played the role of a young man who has lost his father to cancer . The episode was nominated for an Emmy Award for Outstanding Supporting Actor in a Comedy Series , and he received a Golden Globe Award nomination for Best Actor for his performance in The Big Bang Theory .  He also appeared in several episodes of the TV series Lost in Translation , as well as a short film adaptation of Stephen King 's novel The Great Gatsby . His most recent film role was in an episode of American Horror Story : Coven , where he was a recurring guest on The Late Show with David Letterman , with whom he co-starred for three seasons .","['"" Teddy \'s Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . He was cast in the 2005 theatre productions of the Philip Ridley play Mercury Fur , which was performed at the Drum Theatre in Plymouth and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall .']"
2," In 2006 , Boulter starred alongside Whishaw in the play Citizenship written by Mark Ravenhill . He appeared on a 2006 episode of the television series , Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . Boulter starred in two films in 2008 , Daylight Robbery by filmmaker Paris Leonti , and Donkey Punch directed by Olly Blackburn . In May 2008 , Boulter made a guest appearance on a two @-@ part episode arc of the television series Waking the Dead , followed by an appearance on the television series Survivors in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . Boulter starred in the 2011 film Mercenaries directed by Paris Leonti . 
","which was nominated for an Academy Award for Best Picture at the 2008 Toronto International Film Festival . In 2009 , he co-starred in a feature film adaptation of a novel by the same name , The Great Gatsby , and in 2010 he appeared as a guest star on the HBO series Game of Thrones . The following year , in addition to appearing in several episodes of The Sopranos and The Wire , the actor also appeared in three films as well as two feature films .","['and Donkey Punch directed by Olly Blackburn . In May 2008 , Boulter made a guest appearance on a two @-@ part episode arc of the television series Waking the Dead , followed by an appearance on the television series Survivors in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . Boulter starred in the 2011 film Mercenaries directed by Paris Leonti .']"
3," = = Career = = 
",= @ =,['Career = =']
4," = = = 2000 – 2005 = = = 
",@-@ years =,['– 2005 = = =']
5," In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed "" Scott Parry "" in the episode , "" In Safe Hands "" . Boulter starred as "" Scott "" in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court Theatre . A review of Boulter 's performance in The Independent on Sunday described him as "" horribly menacing "" in the role , and he received critical reviews in The Herald , and Evening Standard . He appeared in the television series Judge John Deed in 2002 as "" Addem Armitage "" in the episode "" Political Expediency "" , and had a role as a different character "" Toby Steele "" on The Bill . 
","New York Times described him as a "" very good actor "" , and he was nominated for an Academy Award for Best Actor in a Comedy Series . He was also nominated as an actor for the role of Dr. Jekyll and Mr. Hyde , in which he played the character of a young woman who has been kidnapped by a group of criminals . In the same year , he appeared in an episode of the TV show The Big Bang Theory .","['Independent on Sunday described him as "" horribly menacing "" in the role , and he received critical reviews in The Herald , and Evening Standard . He appeared in the television series Judge John Deed in 2002 as "" Addem Armitage "" in the episode "" Political Expediency "" , and had a role as a different character "" Toby Steele "" on The Bill .']"
6," He had a recurring role in 2003 on two episodes of The Bill , as character "" Connor Price "" . In 2004 Boulter landed a role as "" Craig "" in the episode "" Teddy 's Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter starred as "" Darren "" , in the 2005 theatre productions of the Philip Ridley play Mercury Fur . It was performed at the Drum Theatre in Plymouth , and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . Boulter received a favorable review in The Daily Telegraph : "" The acting is shatteringly intense , with wired performances from Ben Whishaw ( now unrecognisable from his performance as Trevor Nunn 's Hamlet ) , Robert Boulter , Shane Zaza and Fraser Ayres . "" The Guardian noted , "" Ben Whishaw and Robert Boulter offer tenderness amid the savagery . "" 
","in New York City . He also appeared in a number of television productions including the short film "" The Man Who Loved Me "" and a feature film adaptation of a novel by the same name . The film was nominated for an Academy Award for Best Picture in 2004 , but it was not nominated in any other category for that year . After the release of his first film in 2005 , he was cast as the lead in another film , The Great Gatsby , which he directed and co-starred in . During his time on the set of that film he also starred in several other productions , including a film based on his own novel .","['in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . Boulter received a favorable review in The Daily Telegraph : "" The acting is shatteringly intense , with wired performances from Ben Whishaw ( now unrecognisable from his performance as Trevor Nunn \'s Hamlet ) , Robert Boulter , Shane Zaza and Fraser Ayres . "" The Guardian noted , "" Ben Whishaw and Robert Boulter offer tenderness amid the savagery . ""']"
7," = = = 2006 – present = = = 
",- 2007 =,['– present = = =']
8," In 2006 Boulter starred in the play Citizenship written by Mark Ravenhill . The play was part of a series which featured different playwrights , titled Burn / Chatroom / Citizenship . In a 2006 interview , fellow actor Ben Whishaw identified Boulter as one of his favorite co @-@ stars : "" I loved working with a guy called Robert Boulter , who was in the triple bill of Burn , Chatroom and Citizenship at the National . He played my brother in Mercury Fur . "" He portrayed "" Jason Tyler "" on the 2006 episode of the television series , Doctors , titled "" Something I Ate "" . Boulter starred as "" William "" in the 2007 production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . In a review of the production for The Daily Telegraph , theatre critic Charles Spencer noted , "" Robert Boulter brings a touching vulnerability to the stage as William . "" 
","went on to star in a number of other plays , including a role in The Man Who Loved Me , which he wrote and directed , and a recurring role on the TV series The Real Housewives of New York City . His most recent work was a feature film adaptation of the novel The Housewife , directed by J.D. Salinger . It was released in 2009 . 


Sources : 
 http://www.nytimes.com/2009/01/04/world/europe/politics/the-housewife.html","['portrayed "" Jason Tyler "" on the 2006 episode of the television series , Doctors , titled "" Something I Ate "" . Boulter starred as "" William "" in the 2007 production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . In a review of the production for The Daily Telegraph , theatre critic Charles Spencer noted , "" Robert Boulter brings a touching vulnerability to the stage as William . ""']"
9," Boulter starred in two films in 2008 , Daylight Robbery by filmmaker Paris Leonti , and Donkey Punch directed by Olly Blackburn . Boulter portrayed a character named "" Sean "" in Donkey Punch , who tags along with character "" Josh "" as the "" quiet brother ... who hits it off with Tammi "" . Boulter guest starred on a two @-@ part episode arc "" Wounds "" in May 2008 of the television series Waking the Dead as character "" Jimmy Dearden "" . He appeared on the television series Survivors as "" Neil "" in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . He portrayed an emergency physician applying for a medical fellowship . He commented on the inherent difficulties in portraying a physician on television : "" Playing a doctor is a strange experience . Pretending you know what you 're talking about when you don 't is very bizarre but there are advisers on set who are fantastic at taking you through procedures and giving you the confidence to stand there and look like you know what you 're doing . "" Boulter starred in the 2011 film Mercenaries directed by Paris Leonti . 
","an episode of The Simpsons , where he was voiced by Matt Groening . In 2009 , he appeared as a guest star in the animated series The Legend of Zelda , which was released in North America and Europe on September 30 , 2009 . The series was nominated for an Academy Award for Best Animated Feature , Best Original Screenplay and Best Soundtrack . His first feature film role was a part in a film adaptation of a novel by the same name , The Adventures of Ollie , published by Warner Bros . Pictures in 2010 . A sequel to the book was published in 2015 . 
  He also appeared in several animated films , including the first animated film of his career , the second of which premiered at the Toronto International Film Festival in 2016 .","['ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . He portrayed an emergency physician applying for a medical fellowship . He commented on the inherent difficulties in portraying a physician on television : "" Playing a doctor is a strange experience . Pretending you know what you \'re talking about when you don \'t is very bizarre but there are advisers on set who are fantastic at taking you through procedures and giving you the confidence to stand there and look like you know what you \'re doing . "" Boulter starred in the 2011 film Mercenaries directed by Paris Leonti .']"
10," = = Filmography = = 
",= @ =,['Filmography = =']
11," = = = Film = = = 
",@-@ =,['Film = = =']
12," = = = Television = = = 
",@-@ =,['Television = = =']
13," = = = Theatre = = = 
",@ @ =,['Theatre = = =']
14," = Du Fu = 
",vall 's,['Fu =']
15," Du Fu ( Wade – Giles : Tu Fu ; Chinese : 杜甫 ; 712 – 770 ) was a prominent Chinese poet of the Tang dynasty . Along with Li Bai ( Li Po ) , he is frequently called the greatest of the Chinese poets . His greatest ambition was to serve his country as a successful civil servant , but he proved unable to make the necessary accommodations . His life , like the whole country , was devastated by the An Lushan Rebellion of 755 , and his last 15 years were a time of almost constant unrest . 
",", however , was to become the first poet in the world to write poetry in a Chinese language . He was born in Shanghai in 1868 , and was educated at the University of Hong Kong , where he received a Ph.D. in Chinese literature from the university . In 1874 , Li Fu was appointed to the post of editor of a literary journal .","['was to serve his country as a successful civil servant , but he proved unable to make the necessary accommodations . His life , like the whole country , was devastated by the An Lushan Rebellion of 755 , and his last 15 years were a time of almost constant unrest .']"
16," Although initially he was little @-@ known to other writers , his works came to be hugely influential in both Chinese and Japanese literary culture . Of his poetic writing , nearly fifteen hundred poems have been preserved over the ages . He has been called the "" Poet @-@ Historian "" and the "" Poet @-@ Sage "" by Chinese critics , while the range of his work has allowed him to be introduced to Western readers as "" the Chinese Virgil , Horace , Ovid , Shakespeare , Milton , Burns , Wordsworth , Béranger , Hugo or Baudelaire "" . 
","of China "" , "" the most influential Chinese poet of the 20th century , and the author of many of his most famous works , including "" The Song of Hui "" . His works have also been translated into English , French , German , Italian , Spanish , Portuguese , Dutch , Russian , Chinese , Japanese , Korean , Thai , Turkish , Vietnamese , Arabic , Persian , Hebrew , Greek , Latin , Polish , Romanian , Czech , Slovak , Slovenian , Swedish , Ukrainian ,","['"" and the "" Poet @-@ Sage "" by Chinese critics , while the range of his work has allowed him to be introduced to Western readers as "" the Chinese Virgil , Horace , Ovid , Shakespeare , Milton , Burns , Wordsworth , Béranger , Hugo or Baudelaire "" .']"
17," = = Life = = 
",= @ =,['Life = =']
