,examples,hypotheses,references
0," = Robert Boulter = 
",A. Heinlein,['Boulter =']
1," Robert Boulter is an English film , television and theatre actor . He had a guest @-@ starring role on the television series The Bill in 2000 . This was followed by a starring role in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court Theatre . He had a guest role in the television series Judge John Deed in 2002 . In 2004 Boulter landed a role as "" Craig "" in the episode "" Teddy 's Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . He was cast in the 2005 theatre productions of the Philip Ridley play Mercury Fur , which was performed at the Drum Theatre in Plymouth and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . 
",""" The Man Who Loved Me "" . The episode was directed by David Tennant , who had previously worked with him on a number of television shows including The Simpsons , The Good Wife , and American Horror Story .  He was nominated for an Academy Award for Best Actor in a Comedy Series for his performance in The Big Bang Theory , as well as a Golden Globe Award nomination for Outstanding Supporting Actor for the role of Craig in Season 2 of the TV series. He also won an Emmy Award in 2006 for a performance as the voice of Mr. Burns in an episode of The Real Housewives of Beverly Hills , in which he played the lead role.","['"" Teddy \'s Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . He was cast in the 2005 theatre productions of the Philip Ridley play Mercury Fur , which was performed at the Drum Theatre in Plymouth and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall .']"
2," In 2006 , Boulter starred alongside Whishaw in the play Citizenship written by Mark Ravenhill . He appeared on a 2006 episode of the television series , Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . Boulter starred in two films in 2008 , Daylight Robbery by filmmaker Paris Leonti , and Donkey Punch directed by Olly Blackburn . In May 2008 , Boulter made a guest appearance on a two @-@ part episode arc of the television series Waking the Dead , followed by an appearance on the television series Survivors in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . Boulter starred in the 2011 film Mercenaries directed by Paris Leonti . 
","which was nominated for an Academy Award for Best Picture . In 2009 , he appeared in a film adaptation of a novel by the same name , and in 2010 he was cast as the lead actor in an upcoming film based on the novel . The film premiered at the Sundance Film Festival in Los Angeles , where it received critical and commercial acclaim , including Best Director , Best Actor , Supporting Actor and Supporting Actress , as well as Best Actress and Director of Photography , for which he received a Golden Globe Award .","['and Donkey Punch directed by Olly Blackburn . In May 2008 , Boulter made a guest appearance on a two @-@ part episode arc of the television series Waking the Dead , followed by an appearance on the television series Survivors in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . Boulter starred in the 2011 film Mercenaries directed by Paris Leonti .']"
3," = = Career = = 
",/ =,['Career = =']
4," = = = 2000 – 2005 = = = 
",@-@ years =,['– 2005 = = =']
5," In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed "" Scott Parry "" in the episode , "" In Safe Hands "" . Boulter starred as "" Scott "" in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court Theatre . A review of Boulter 's performance in The Independent on Sunday described him as "" horribly menacing "" in the role , and he received critical reviews in The Herald , and Evening Standard . He appeared in the television series Judge John Deed in 2002 as "" Addem Armitage "" in the episode "" Political Expediency "" , and had a role as a different character "" Toby Steele "" on The Bill . 
","New York Times described him as a "" very good actor "" , and he was nominated for an Academy Award for Best Actor in a Comedy Series . He was also nominated as an American actor for his role in an episode of American Horror Story : Cult of the Dead , in which he played a serial killer . In 2005 , he appeared on The Tonight Show Starring Jimmy Fallon , where he also appeared in two episodes of The Late Late Show with David Letterman .","['Independent on Sunday described him as "" horribly menacing "" in the role , and he received critical reviews in The Herald , and Evening Standard . He appeared in the television series Judge John Deed in 2002 as "" Addem Armitage "" in the episode "" Political Expediency "" , and had a role as a different character "" Toby Steele "" on The Bill .']"
6," He had a recurring role in 2003 on two episodes of The Bill , as character "" Connor Price "" . In 2004 Boulter landed a role as "" Craig "" in the episode "" Teddy 's Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter starred as "" Darren "" , in the 2005 theatre productions of the Philip Ridley play Mercury Fur . It was performed at the Drum Theatre in Plymouth , and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . Boulter received a favorable review in The Daily Telegraph : "" The acting is shatteringly intense , with wired performances from Ben Whishaw ( now unrecognisable from his performance as Trevor Nunn 's Hamlet ) , Robert Boulter , Shane Zaza and Fraser Ayres . "" The Guardian noted , "" Ben Whishaw and Robert Boulter offer tenderness amid the savagery . "" 
","in New York City . He also appeared in a number of television productions including the BBC drama The Big Bang Theory , which aired on BBC One and BBC Two in 2005 . The show was nominated for an Emmy Award for Outstanding Drama Series in 2006 , the first time it had been nominated in that category since the 1980s . His role was also featured in an episode of American Horror Story : Cult of Personality , where he played a serial killer who was sentenced to life in prison for the murders of his wife and two children . After his release from prison , he returned to the United States to work as a security guard at a hotel in Los Angeles .","['in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . Boulter received a favorable review in The Daily Telegraph : "" The acting is shatteringly intense , with wired performances from Ben Whishaw ( now unrecognisable from his performance as Trevor Nunn \'s Hamlet ) , Robert Boulter , Shane Zaza and Fraser Ayres . "" The Guardian noted , "" Ben Whishaw and Robert Boulter offer tenderness amid the savagery . ""']"
7," = = = 2006 – present = = = 
",@-@ season =,['– present = = =']
8," In 2006 Boulter starred in the play Citizenship written by Mark Ravenhill . The play was part of a series which featured different playwrights , titled Burn / Chatroom / Citizenship . In a 2006 interview , fellow actor Ben Whishaw identified Boulter as one of his favorite co @-@ stars : "" I loved working with a guy called Robert Boulter , who was in the triple bill of Burn , Chatroom and Citizenship at the National . He played my brother in Mercury Fur . "" He portrayed "" Jason Tyler "" on the 2006 episode of the television series , Doctors , titled "" Something I Ate "" . Boulter starred as "" William "" in the 2007 production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . In a review of the production for The Daily Telegraph , theatre critic Charles Spencer noted , "" Robert Boulter brings a touching vulnerability to the stage as William . "" 
","also wrote the screenplay for the film , which was based on a novel by the same name , and was nominated for an Academy Award for Best Actor in a Comedy . His role in Citizen Kane was the first time he had played a character in an American film . A few years later , he wrote a short story for The New York Times about his involvement with the production of the movie . It was published in 2006 .  The film received critical acclaim , including Best Picture , Best Director and Best Supporting Actor nominations from the Academy of Motion Picture Arts and Sciences , as well as a Golden Globe Award nomination for best supporting actor for his performance in The Hunger Games : Mockingjay 's @ The Walt Disney Co. , The Lion King , Beauty and the Beast , Star Wars: The Force Awakens , Captain America: Civil War","['portrayed "" Jason Tyler "" on the 2006 episode of the television series , Doctors , titled "" Something I Ate "" . Boulter starred as "" William "" in the 2007 production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . In a review of the production for The Daily Telegraph , theatre critic Charles Spencer noted , "" Robert Boulter brings a touching vulnerability to the stage as William . ""']"
9," Boulter starred in two films in 2008 , Daylight Robbery by filmmaker Paris Leonti , and Donkey Punch directed by Olly Blackburn . Boulter portrayed a character named "" Sean "" in Donkey Punch , who tags along with character "" Josh "" as the "" quiet brother ... who hits it off with Tammi "" . Boulter guest starred on a two @-@ part episode arc "" Wounds "" in May 2008 of the television series Waking the Dead as character "" Jimmy Dearden "" . He appeared on the television series Survivors as "" Neil "" in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . He portrayed an emergency physician applying for a medical fellowship . He commented on the inherent difficulties in portraying a physician on television : "" Playing a doctor is a strange experience . Pretending you know what you 're talking about when you don 't is very bizarre but there are advisers on set who are fantastic at taking you through procedures and giving you the confidence to stand there and look like you know what you 're doing . "" Boulter starred in the 2011 film Mercenaries directed by Paris Leonti . 
","the TV series The Biggest Loser , which aired from September 2009 to October 2010 . In the same season , he appeared as a guest star on an episode of The Real Housewives of Beverly Hills , a reality television show based on his real life . The show was nominated for an Emmy Award for Outstanding Drama Series in 2009 and 2010 , as well as two Emmy Awards for Best Original Screenplay and Best Actor in a Comedy Series for the show . His role was also a part of a series of short films that premiered in January 2011 , including the first of which was a short film titled "" The Secret Life of Billy "" which premiered at the Sundance Film Festival in Los Angeles on February 1 , 2011 .","['ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . He portrayed an emergency physician applying for a medical fellowship . He commented on the inherent difficulties in portraying a physician on television : "" Playing a doctor is a strange experience . Pretending you know what you \'re talking about when you don \'t is very bizarre but there are advisers on set who are fantastic at taking you through procedures and giving you the confidence to stand there and look like you know what you \'re doing . "" Boulter starred in the 2011 film Mercenaries directed by Paris Leonti .']"
